rowLabel,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
?,0.063,4,1192.7830000000001,447.319,2990.98,1799.257,3566.845,532.874,4917.065,1055.875,--undefined--,--undefined--
?,0.073,4,1133.362,500.483,2320.004,1471.6770000000001,3544.489,361.75699999999995,5067.429,1558.388,--undefined--,--undefined--
?,0.083,4,1108.327,509.654,2166.9320000000002,1109.422,3497.938,380.005,4597.3,1912.337,--undefined--,--undefined--
?,0.09300000000000001,4,1118.9260000000002,413.474,2237.317,919.809,3457.877,480.089,4506.083,1393.024,--undefined--,--undefined--
?,0.10300000000000001,4,1133.251,443.189,2278.513,689.441,3490.967,530.016,4756.963,1163.649,--undefined--,--undefined--
?,0.113,4,1174.98,506.356,2276.125,735.4760000000001,3557.862,526.689,4895.475,969.553,--undefined--,--undefined--
?,0.12300000000000001,4,1226.118,535.125,2225.929,1005.9119999999999,3587.761,559.1569999999999,5015.733,1107.804,--undefined--,--undefined--
?,0.133,4,1223.128,479.11,2160.343,1148.21,3594.243,638.822,4965.701,1428.636,--undefined--,--undefined--
?,0.14300000000000002,4,1228.856,556.137,2432.578,1512.839,3669.592,724.222,4937.111,1085.64,--undefined--,--undefined--
?,0.153,5,622.471,1396.158,1284.82,589.7819999999999,2688.6929999999998,1086.22,3716.361,722.895,4910.2,825.33
?,0.163,5,760.492,1308.6,1297.292,767.8810000000001,2707.4790000000003,1311.559,3709.775,910.174,4904.323,1066.691
?,0.17300000000000001,4,1062.882,818.206,1921.2620000000002,1266.3210000000001,3450.458,965.721,4406.292,1833.794,--undefined--,--undefined--
?,0.183,4,1077.333,594.303,2067.359,939.2080000000001,3497.204,595.625,4707.498,1558.318,--undefined--,--undefined--
?,0.193,4,1106.402,545.569,2148.7889999999998,990.05,3539.127,468.342,4848.054,1255.605,--undefined--,--undefined--
