,Subject_labels,pose_Ry_Accel_Mean,pose_Ry_Vel_Mean,gaze_Ry_Vel_Mean
0,P1_1,1.636514139,0.152578916,0.177711582
1,P1_2,2.362476004,0.22696984,0.221510154
2,P1_3,1.488145676,0.127988454,0.181470471
3,P1_4,1.312578649,0.117704181,0.167614493
4,P1_5,1.261017036,0.12193279,0.155688573
5,P1_6,1.530754864,0.143380655,0.183060669
6,P1_7,1.307519097,0.114926632,0.100817105
7,P2_1,2.308182039,0.215323812,0.27145955
8,P2_2,2.461305251,0.227101699,0.144823472
9,P2_3,1.891835136,0.195271171,0.145104622
10,P2_4,1.439885829,0.140988065,0.206715098
11,P2_5,1.354589643,0.130333009,0.22509307
12,P2_6,1.917804245,0.173241833,0.206276829
13,P2_7,1.762200727,0.15947623,0.132905328
14,P2_8,1.952520072,0.184931644,0.205989493
15,P2_9,1.907233722,0.195437636,0.175307646
16,P3_1,0.645360941,0.080306019,0.084505183
17,P3_2,0.781516173,0.090648967,0.123428986
18,P3_3,1.485857156,0.1666408,0.105781433
19,P3_4,1.425060695,0.153087444,0.182003513
20,P3_5,1.055792514,0.096684762,0.163274391
21,P3_6,0.764659902,0.064576138,0.065935552
22,P4_1,1.207881569,0.110085281,0.27178638
23,P4_2,0.858662087,0.068840291,0.097153869
24,P4_3,0.629087587,0.049828458,0.255200195
25,P4_4,0.823044196,0.076586654,0.271185736
26,P5_1,0.627219312,0.068282646,0.128994852
27,P5_2,0.755231773,0.074360051,0.157962377
28,P5_3,0.960636941,0.093239012,0.186546981
29,P5_4,1.059203445,0.093769171,0.213941933
30,P6_1,0.694922981,0.092713023,0.103028931
31,P6_2,0.609991389,0.057037214,0.12976293
32,P6_3,0.994911712,0.132567356,0.14917383
33,P6_4,1.087830539,0.099865657,0.10800286
34,P6_5,1.524389623,0.152864462,0.163521802
35,P7_1,0.722063975,0.056781752,0.098450461
36,P7_2,0.530668295,0.042375811,0.13071932
37,P7_3,0.480784741,0.045763674,0.145259583
38,P7_4,0.640382211,0.051066438,0.116577689
39,P7_5,0.888915676,0.068422895,0.139083558
40,P7_6,0.581445092,0.043657999,0.147339014
41,P7_7,0.93974484,0.069629738,0.152745856
42,P7_8,0.690731276,0.056266732,0.141648138
43,P8_1,2.040538805,0.211400834,0.22956629
44,P8_2,1.602886568,0.168083412,0.220300993
45,P8_3,1.346000425,0.127039026,0.275110042
46,P8_4,1.226967303,0.118412032,0.245139843
47,P8_5,1.19871809,0.104126227,0.247574403
