,Subject_labels,pose_Ry_Accel_Mean,pose_Ry_Vel_Mean,gaze_Ry_Vel_Mean
0,100ZD_1,0.3821887,0.038069223,0.12013183
1,101AF_1,1.175602052,0.139705202,0.264412024
2,102CW_1,0.486619261,0.051330229,0.124363449
3,10JR_1,0.379518185,0.039509889,0.124411327
4,10JR_6,0.480940908,0.045161303,0.1332522
5,11TA_1,0.739131249,0.091848473,0.177487359
6,12BD_1,0.595167281,0.068133204,0.150224975
7,12BD_4,0.600691252,0.066728959,0.164348298
8,12BD_6,0.454852683,0.049778305,0.194462169
9,12BD_7,0.608811564,0.059162343,0.153023437
10,13MS_1,0.630768389,0.070394107,0.22883898
11,13MS_5,0.673770156,0.069921072,0.220871334
12,13MS_7,0.483570784,0.054310474,0.324750413
13,14CS_1,0.381266233,0.035279071,0.123271027
14,14CS_2,0.247967465,0.025584413,0.086600146
15,15FA_1,0.630460745,0.075356714,0.156372534
16,16FS_1,0.774428354,0.080546973,0.247952075
17,16FS_6,0.547560145,0.057674867,0.250931992
18,17KP_1,0.431995475,0.046278064,0.162465287
19,17KP_7,0.431616375,0.047026361,0.2327109
20,18JM_1,0.413771439,0.046954347,0.275887159
21,19JV_1,0.406393102,0.046106088,0.156266919
22,19JV_3,0.3602551,0.039675592,0.119830966
23,1AZ_1,0.649319145,0.073082205,0.197908068
24,1AZ_2,0.419311613,0.047536146,0.244076591
25,23DR_3,0.248160077,0.02905493,0.074395196
26,24KI_3,0.393332862,0.04341989,0.165421258
27,24KI_5,0.282365745,0.032751523,0.202933784
28,24KI_7,0.419571484,0.04873257,0.225121614
29,25BC_1,0.855364095,0.092693049,0.194831114
30,25BC_2,0.46113869,0.048153785,0.161368246
31,25BC_4,0.716159814,0.07641646,0.214538933
32,25BC_5,0.764290237,0.082110844,0.231121892
33,26CJ_3,0.272543559,0.024363977,0.136766238
34,26CJ_4,0.219664199,0.021727051,0.199519148
35,28AL_3,0.437468537,0.059962463,0.212951312
36,28AL_5,0.975536309,0.114902238,0.169295743
37,29GU_1,0.460879094,0.056226217,0.148847937
38,29GU_3,0.224759152,0.026581978,0.137892802
39,2VZ_1,1.300601906,0.171973643,0.199352155
40,30TS_1,1.141384946,0.117351728,0.184709156
41,30TS_4,0.776889333,0.083495188,0.148993427
42,31DG_1,0.455288822,0.051196297,0.132448198
43,31DG_4,0.625544985,0.072355489,0.130495754
44,32DB_1,0.800377443,0.102519901,0.229724256
45,33KG_2,0.28995287,0.02370431,0.146027967
46,33KG_3,0.295377055,0.033343702,0.139776288
47,34IF_1,0.609173197,0.067558893,0.206873834
48,34IF_2,0.406814562,0.042073814,0.243711798
49,35AJ_1,0.72210716,0.090566191,0.139546778
50,35AJ_3,0.610539299,0.074351678,0.166039164
51,35AJ_4,0.618400041,0.074210316,0.188030214
52,36CA_1,0.601523109,0.066998125,0.135429219
53,36CA_2,0.397313455,0.045488463,0.101652735
54,37KR_1,0.704574695,0.082754182,0.213678381
55,37KR_5,0.561626648,0.064598992,0.24896576
56,38LD_2,0.278491067,0.025167517,0.111267721
57,38LD_5,0.360057034,0.040328034,0.182681856
58,39NI_1,0.441618966,0.037532959,0.126090333
59,39NI_2,0.421026098,0.04175515,0.142528237
60,3DN_1,0.627465532,0.077815385,0.194334552
61,3DN_2,0.569619162,0.063123026,0.186054838
62,3DN_3,0.567251669,0.07013182,0.21579928
63,3DN_6,0.427934109,0.04939719,0.194233172
64,40NM_1,0.231809851,0.026774327,0.139003118
65,40NM_2,0.263353631,0.031682856,0.150670136
66,41MF_1,0.89408207,0.088963599,0.173331699
67,42JG_3,0.48924462,0.053970103,0.128837391
68,42JG_4,0.515564288,0.056468991,0.223492834
69,42JG_6,0.525210094,0.057210044,0.193107489
70,43AT_3,0.615423066,0.075636119,0.151749214
