SubjectSession,iterations,d_messages,p_messages,d_total_words,p_total_words,d_max,p_max,Subject_labels
both_P1_1,2,3,80,44,1118,44,1118,P1_1
both_P1_2,90,111,207,735,1919,735,1919,P1_2
both_P1_3,97,94,169,742,1503,742,1503,P1_3
both_P1_4,97,114,150,653,1709,653,1709,P1_4
both_P1_5,26,27,68,109,628,109,628,P1_5
both_P1_6,47,54,71,513,664,513,664,P1_6
both_P1_7,33,40,51,251,565,251,565,P1_7
both_P2_1,8,8,99,40,1008,40,1008,P2_1
both_P2_2,103,86,210,594,1645,594,1645,P2_2
both_P2_3,58,45,98,208,752,208,752,P2_3
both_P2_4,55,44,88,195,649,195,649,P2_4
both_P2_5,54,54,143,294,1140,294,1140,P2_5
both_P2_6,73,67,74,264,591,264,591,P2_6
both_P2_7,39,32,114,215,1015,215,1015,P2_7
both_P2_8,40,34,69,152,467,152,467,P2_8
both_P2_9,45,39,47,248,233,248,233,P2_9
both_P3_1,67,108,53,837,348,837,348,P3_1
both_P3_2,43,90,44,884,353,884,353,P3_2
both_P3_3,43,35,75,153,701,153,701,P3_3
both_P3_4,49,52,68,350,552,350,552,P3_4
both_P3_5,37,49,64,325,429,325,429,P3_5
both_P3_6,45,45,36,299,206,299,206,P3_6
both_P4_1,9,8,97,43,1538,43,1538,P4_1
both_P4_2,72,81,80,501,734,501,734,P4_2
both_P4_3,69,55,64,339,422,339,422,P4_3
both_P4_4,25,18,116,62,1046,62,1046,P4_4
both_P5_1,35,23,31,110,197,110,197,P5_1
both_P5_2,60,48,59,196,359,196,359,P5_2
both_P5_3,89,71,103,349,826,349,826,P5_3
both_P5_4,37,32,34,146,193,146,193,P5_4
both_P6_1,35,32,26,214,154,214,154,P6_1
both_P6_2,75,66,75,404,536,404,536,P6_2
both_P6_3,26,36,24,260,218,260,218,P6_3
both_P6_4,67,75,108,531,966,531,966,P6_4
both_P6_5,58,69,61,487,534,487,534,P6_5
both_P7_1,12,11,21,72,298,72,298,P7_1
both_P7_2,20,24,32,150,265,150,265,P7_2
both_P7_3,25,38,21,209,152,209,152,P7_3
both_P7_4,35,31,48,170,285,170,285,P7_4
both_P7_5,33,27,36,246,347,246,347,P7_5
both_P7_6,62,71,87,607,735,607,735,P7_6
both_P7_7,37,32,44,241,420,241,420,P7_7
both_P7_8,23,25,26,109,189,109,189,P7_8
both_P8_1,22,15,72,82,779,82,779,P8_1
both_P8_2,22,16,50,83,596,83,596,P8_2
both_P8_3,12,9,56,37,564,37,564,P8_3
both_P8_4,15,13,58,61,705,61,705,P8_4
both_P8_5,37,36,40,158,316,158,316,P8_5
